MarketplaceId,MarketplaceName,TehsilId,TehsilName,MarketplaceStatus
1,Aabitkhind,1,Akole,Approved
2,Aagar,1,Akole,Approved
3,Agastinagar,1,Akole,Approved
4,Akole,1,Akole,Approved
5,Ambad,1,Akole,Approved
6,Ambevangan,1,Akole,Approved
7,Ambhol,1,Akole,Approved
8,Ambikanagar,1,Akole,Approved
9,Ambit,1,Akole,Approved
10,Aurangpur,1,Akole,Approved
11,Babhulwandi,1,Akole,Approved
12,Badgi,1,Akole,Approved
13,Bahirwadi,1,Akole,Approved
14,Balthan,1,Akole,Approved
15,Baravwandi,1,Akole,Approved
16,Bari,1,Akole,Approved
17,Belapur,1,Akole,Approved
18,Bhandardara,1,Akole,Approved
19,Bhojadarawadi,1,Akole,Approved
20,Bholewadi,1,Akole,Approved
21,Bitaka,1,Akole,Approved
22,Bori,1,Akole,Approved
23,Bramhanwada,1,Akole,Approved
24,Chaitanyapur,1,Akole,Approved
25,Chand Suraj,1,Akole,Approved
26,Chandgirwadi,1,Akole,Approved
27,Chas,1,Akole,Approved
28,Chichondi,1,Akole,Approved
29,Chinchavane,1,Akole,Approved
30,Chitalwedhe,1,Akole,Approved
31,Dagadwadi,1,Akole,Approved
32,Deogaon,1,Akole,Approved
33,Deothan,1,Akole,Approved
34,Dhagewadi,1,Akole,Approved
35,Dhamangaon Awari,1,Akole,Approved
36,Dhamangaon Pat,1,Akole,Approved
37,Dhamanvan,1,Akole,Approved
38,Dhokri,1,Akole,Approved
39,Dhumalwadi,1,Akole,Approved
40,Digambar,1,Akole,Approved
41,Dodaknadi,1,Akole,Approved
42,Dongargaon,1,Akole,Approved
43,Dongarwadi,1,Akole,Approved
44,Ekdare,1,Akole,Approved
45,Esarthav,1,Akole,Approved
46,Ganore,1,Akole,Approved
47,Gardani,1,Akole,Approved
48,Garwadi,1,Akole,Approved
49,Ghatghar,1,Akole,Approved
50,Ghodsarwadi,1,Akole,Approved
51,Ghoti,1,Akole,Approved
52,Godewadi,1,Akole,Approved
53,Gondoshi,1,Akole,Approved
54,Guhire,1,Akole,Approved
55,Hivargaon,1,Akole,Approved
56,Indori,1,Akole,Approved
57,Jachakwadi,1,Akole,Approved
58,Jahagirdarwadi,1,Akole,Approved
59,Jambhale,1,Akole,Approved
60,Jamgaon,1,Akole,Approved
61,Jaynawadi,1,Akole,Approved
62,Kalamb,1,Akole,Approved
63,Kalas Bk.,1,Akole,Approved
64,Kalas Kh.,1,Akole,Approved
65,Kalewadi,1,Akole,Approved
66,Karandi,1,Akole,Approved
67,Katalapur,1,Akole,Approved
68,Kauthewadi,1,Akole,Approved
69,Keli Kotul,1,Akole,Approved
70,Keli Otur,1,Akole,Approved
71,Keli Rumhanwadi,1,Akole,Approved
72,Kelungan,1,Akole,Approved
73,Khadki Bk.,1,Akole,Approved
74,Khadki Kh.,1,Akole,Approved
75,Khanapur,1,Akole,Approved
76,Khetewadi,1,Akole,Approved
77,Khirvire,1,Akole,Approved
78,Khuntewadi,1,Akole,Approved
79,Kodni,1,Akole,Approved
80,Kohane,1,Akole,Approved
81,Kohondi,1,Akole,Approved
82,Kokanvadi,1,Akole,Approved
83,Koltembhe,1,Akole,Approved
84,Kombhalne,1,Akole,Approved
85,Kothale,1,Akole,Approved
86,Kotul,1,Akole,Approved
87,Kumbhefal,1,Akole,Approved
88,Kumshet,1,Akole,Approved
89,Ladgaon,1,Akole,Approved
90,Lahit Bk.,1,Akole,Approved
91,Lahit Kh.,1,Akole,Approved
92,Lavhali Kotul,1,Akole,Approved
93,Lavhali Otur,1,Akole,Approved
94,Lingdev,1,Akole,Approved
95,Mahadeowadi,1,Akole,Approved
96,Malegaon,1,Akole,Approved
97,Manhere,1,Akole,Approved
98,Manik Ozar,1,Akole,Approved
99,Manoharpur,1,Akole,Approved
100,Manyale,1,Akole,Approved
101,Maveshi,1,Akole,Approved
102,Mehenduri,1,Akole,Approved
103,Mhaladevi,1,Akole,Approved
104,Mhalungi,1,Akole,Approved
105,Mogras,1,Akole,Approved
106,Morwadi,1,Akole,Approved
107,Murshet,1,Akole,Approved
108,Muthalane,1,Akole,Approved
109,Mutkhel,1,Akole,Approved
110,Nachanthav,1,Akole,Approved
111,Nagawadi,1,Akole,Approved
112,Navalewadi,1,Akole,Approved
113,Nilwande,1,Akole,Approved
114,Nimbral,1,Akole,Approved
115,Nirgudwadi,1,Akole,Approved
116,Pabhulwadi,1,Akole,Approved
117,Pachapattawadi,1,Akole,Approved
118,Pachnai,1,Akole,Approved
119,Padalane,1,Akole,Approved
120,Padoshi,1,Akole,Approved
121,Paithan,1,Akole,Approved
122,Palsunde,1,Akole,Approved
123,Pangari,1,Akole,Approved
124,Panjare,1,Akole,Approved
125,Parakhatpur,1,Akole,Approved
126,Pedhewadi,1,Akole,Approved
127,Pendshet,1,Akole,Approved
128,Phophasandi,1,Akole,Approved
129,Pimpaldarawadi,1,Akole,Approved
130,Pimpaldari,1,Akole,Approved
131,Pimpalgaon Khand,1,Akole,Approved
132,Pimpalgaon Nakvinda,1,Akole,Approved
133,Pimpalgaon Nipani,1,Akole,Approved
134,Pimparkane,1,Akole,Approved
135,Pimpri,1,Akole,Approved
136,Pisewadi,1,Akole,Approved
137,Poparewadi,1,Akole,Approved
138,Purushwadi,1,Akole,Approved
139,Rajur,1,Akole,Approved
140,Ranad Bk.,1,Akole,Approved
141,Ranad Kh.,1,Akole,Approved
142,Ratanwadi,1,Akole,Approved
143,Rede,1,Akole,Approved
144,Rumbhodi,1,Akole,Approved
145,Sakirwadi,1,Akole,Approved
146,Samrad,1,Akole,Approved
147,Samsherpur,1,Akole,Approved
148,Sangavi,1,Akole,Approved
149,Sarowarwadi,1,Akole,Approved
150,Satewadi,1,Akole,Approved
151,Savarkute,1,Akole,Approved
152,Sawargaon Pat,1,Akole,Approved
153,Shelad,1,Akole,Approved
154,Shelvihire,1,Akole,Approved
155,Shendi,1,Akole,Approved
156,Shenit,1,Akole,Approved
157,Shenit Kh.,1,Akole,Approved
158,Sherankhel,1,Akole,Approved
159,Sherewadi,1,Akole,Approved
160,Shidawad,1,Akole,Approved
161,Shilvandi,1,Akole,Approved
162,Shinde,1,Akole,Approved
163,Shinganwadi,1,Akole,Approved
164,Shirpunje Bk.,1,Akole,Approved
165,Shirpunje Kh.,1,Akole,Approved
166,Shiswad,1,Akole,Approved
167,Shivajinagar,1,Akole,Approved
168,Somalwadi,1,Akole,Approved
169,Sugaon Bk.,1,Akole,Approved
170,Sugaon Kh.,1,Akole,Approved
171,Sultanpur,1,Akole,Approved
172,Tahakari,1,Akole,Approved
173,Takali,1,Akole,Approved
174,Tale,1,Akole,Approved
175,Tambhol,1,Akole,Approved
176,Terungan,1,Akole,Approved
177,Thakarwadi,1,Akole,Approved
178,Tirdhe,1,Akole,Approved
179,Titavi,1,Akole,Approved
180,Udadawane,1,Akole,Approved
181,Umbarwadi,1,Akole,Approved
182,Unchkhadak Bk.,1,Akole,Approved
183,Unchkhadak Kh.,1,Akole,Approved
184,Vashere,1,Akole,Approved
185,Vihir,1,Akole,Approved
186,Virgaon,1,Akole,Approved
187,Vitha,1,Akole,Approved
188,Wagdari,1,Akole,Approved
189,Waghapur,1,Akole,Approved
190,Waki,1,Akole,Approved
191,Wanjul Shet,1,Akole,Approved
192,Waranghushi,1,Akole,Approved
193,Warkhadwadi,1,Akole,Approved
61711,hhh,1,Akole,Unapproved
61788,TestMarketplace,1,Akole,Unapproved
61789,Test Marketplace,1,Akole,Unapproved
61790,Test added,1,Akole,Unapproved
61791,Test add,1,Akole,Unapproved
61795,testing ,1,Akole,Unapproved
61796,acc,1,Akole,Unapproved
61807,latur 13,1,Akole,Unapproved
61808,teast 123,1,Akole,Unapproved
61862,production,1,Akole,Unapproved
61864,fff,1,Akole,Unapproved
61892,451335,1,Akole,Unapproved
194,Aghi,2,Jamkhed,Approved
195,Anandwadi,2,Jamkhed,Approved
196,Apti,2,Jamkhed,Approved
197,Arangaon,2,Jamkhed,Approved
198,Balgavhan,2,Jamkhed,Approved
199,Bandhkhadak,2,Jamkhed,Approved
