MarketplaceId,MarketplaceName,TehsilId,TehsilName,MarketplaceStatus
28893,Dhondi,239,Parbhani,Approved
28894,Digras,239,Parbhani,Approved
28895,Durdi,239,Parbhani,Approved
28896,Ekrukha Tarf Pedgaon,239,Parbhani,Approved
28897,Gavha,239,Parbhani,Approved
28898,Gokulwadi,239,Parbhani,Approved
28899,Govindpur,239,Parbhani,Approved
28900,Hasnapur,239,Parbhani,Approved
28901,Hingla,239,Parbhani,Approved
28902,Indewadi,239,Parbhani,Approved
28903,Ismailpur,239,Parbhani,Approved
28904,Ithalapur Deshmukh,239,Parbhani,Approved
28905,Jalalpur,239,Parbhani,Approved
28906,Jamb,239,Parbhani,Approved
28907,Jawala,239,Parbhani,Approved
28908,Jod Parli,239,Parbhani,Approved
28909,Karadgaon,239,Parbhani,Approved
28910,Karegaon,239,Parbhani,Approved
28911,Karla,239,Parbhani,Approved
28912,Kashtagaon,239,Parbhani,Approved
28913,Kaudgaon,239,Parbhani,Approved
28914,Khanapur,239,Parbhani,Approved
28915,Khanapur Tarf Zari,239,Parbhani,Approved
28916,Kinhola,239,Parbhani,Approved
28917,Kumbhari,239,Parbhani,Approved
28918,Lohagaon,239,Parbhani,Approved
28919,Malsonna,239,Parbhani,Approved
28920,Mandakhali,239,Parbhani,Approved
28921,Mandwa,239,Parbhani,Approved
28922,Mangangaon,239,Parbhani,Approved
28923,Matakarala,239,Parbhani,Approved
28924,Mirkhel,239,Parbhani,Approved
28925,Mirzapur,239,Parbhani,Approved
28926,Mohapuri,239,Parbhani,Approved
28927,Murumba,239,Parbhani,Approved
28928,Nagapur,239,Parbhani,Approved
28929,Nandapur,239,Parbhani,Approved
28930,Nandgaon Bk.,239,Parbhani,Approved
28931,Nandgaon Kh.,239,Parbhani,Approved
28932,Nandkheda,239,Parbhani,Approved
28933,Narsapur,239,Parbhani,Approved
28934,Narsapur Tarf Pedgaon,239,Parbhani,Approved
28935,Pandhari,239,Parbhani,Approved
28936,Panhera,239,Parbhani,Approved
28937,Paralgavhan,239,Parbhani,Approved
28938,Parawa,239,Parbhani,Approved
28939,Parbhani,239,Parbhani,Approved
28940,Pathra,239,Parbhani,Approved
28941,Pedgaon,239,Parbhani,Approved
28942,Pegargavhan,239,Parbhani,Approved
28943,Pimpalgaon Sayyadmia,239,Parbhani,Approved
28944,Pimpalgaon Thombare,239,Parbhani,Approved
28945,Pimpalgaon Tong,239,Parbhani,Approved
28946,Pimpari Deshmukh,239,Parbhani,Approved
28947,Pimpla,239,Parbhani,Approved
28948,Pingali,239,Parbhani,Approved
28949,Pingli Kothala,239,Parbhani,Approved
28950,Pokharni,239,Parbhani,Approved
28951,Porwad,239,Parbhani,Approved
28952,Purjawala,239,Parbhani,Approved
28953,Rahati,239,Parbhani,Approved
28954,Raipur,239,Parbhani,Approved
28955,Saba,239,Parbhani,Approved
28956,Sadegaon,239,Parbhani,Approved
28957,Sahajpur,239,Parbhani,Approved
28958,Salapuri,239,Parbhani,Approved
28959,Sambar,239,Parbhani,Approved
28960,Samsapur,239,Parbhani,Approved
28961,Sanpuri,239,Parbhani,Approved
28962,Sarangapur,239,Parbhani,Approved
28963,Satla,239,Parbhani,Approved
28964,Sawangi Kh.,239,Parbhani,Approved
28965,Sayala,239,Parbhani,Approved
28966,Sendra,239,Parbhani,Approved
28967,Shahapur,239,Parbhani,Approved
28968,Singnapur,239,Parbhani,Approved
28969,Sirsi Bk.,239,Parbhani,Approved
28970,Sirsi Kh.,239,Parbhani,Approved
28971,Sonna,239,Parbhani,Approved
28972,Sukapurwadi,239,Parbhani,Approved
28973,Sultanpur,239,Parbhani,Approved
28974,Surpimpari,239,Parbhani,Approved
28975,Tadlimbla,239,Parbhani,Approved
28976,Tadpangari,239,Parbhani,Approved
28977,Takalgavhan,239,Parbhani,Approved
28978,Takli Bobade,239,Parbhani,Approved
28979,Takli Kumbhakarna,239,Parbhani,Approved
28980,Tamaswadi,239,Parbhani,Approved
28981,Taroda,239,Parbhani,Approved
28982,Tattu Jawala,239,Parbhani,Approved
28983,Thola,239,Parbhani,Approved
28984,Tuljapur,239,Parbhani,Approved
28985,Ujalamba,239,Parbhani,Approved
28986,Ukhalad,239,Parbhani,Approved
28987,Ukhaladwadi,239,Parbhani,Approved
28988,Umari,239,Parbhani,Approved
28989,Varpud,239,Parbhani,Approved
28990,Wadgaon Tarf Bharaswad,239,Parbhani,Approved
28991,Wadgaon Tarf Takli,239,Parbhani,Approved
28992,Wadidamai,239,Parbhani,Approved
28993,Wangi,239,Parbhani,Approved
28994,Zadgaon,239,Parbhani,Approved
28995,Zari,239,Parbhani,Approved
28996,Anandnagar (Vitatanda),240,Pathri,Approved
28997,Andhapuri,240,Pathri,Approved
28998,Babhulgaon,240,Pathri,Approved
28999,Babultar,240,Pathri,Approved
29000,Bandarwada,240,Pathri,Approved
29001,Banegaon,240,Pathri,Approved
29002,Borgavhan,240,Pathri,Approved
29003,Chate Pimpalgaon,240,Pathri,Approved
29004,Dakupimpri,240,Pathri,Approved
29005,Devegaon,240,Pathri,Approved
29006,Devnandra,240,Pathri,Approved
29007,Dhalegaon,240,Pathri,Approved
29008,Dongargaon,240,Pathri,Approved
29009,Gopegaon,240,Pathri,Approved
29010,Goundgaon,240,Pathri,Approved
29011,Gunj Kh,240,Pathri,Approved
29012,Hadgaon Bk,240,Pathri,Approved
29013,Jaitapurwadi,240,Pathri,Approved
29014,Jawala Zute,240,Pathri,Approved
29015,Kansur,240,Pathri,Approved
29016,Kasapuri,240,Pathri,Approved
29017,Khedula,240,Pathri,Approved
